"Time []","C1.V []","L1.I []"
0,6.00000000000382,1.2000036
1E-007,6.00005451177028,1.21200349097646
5.85758509354482E-007,6.00159920472225,1.27027897555296
1.58575850935448E-006,6.00747765496252,1.39018820695611
2.58575850935448E-006,6.01872478906856,1.5099261825158
3.58575850935448E-006,6.03528185655607,1.62938611605955
4.58575850935448E-006,6.05708583421645,1.74846243915183
4.89999968575851E-006,6.06501207193543,1.78578769842365
4.99999989999969E-006,6.06764142318165,1.79765507035328
5.09999989999969E-006,6.0703222855345,1.80951710664456
5.59999989999969E-006,6.08513227030451,1.86866578394152
6.59999989999969E-006,6.11728734866586,1.98664158775181
7.59999989999969E-006,6.15447401433118,2.10392397412184
8.59999989999969E-006,6.19661309739439,2.22041310300459
9.59999989999969E-006,6.24362166344514,2.33601075539619
9.8999996999999E-006,6.25866295598616,2.37050387854249
9.9999998999997E-006,6.26377205334787,2.38198146648827
1.00999998999997E-005,6.26892862175079,2.39344876581317
1.05999998999997E-005,6.29600335043764,2.45048873230879
1.15999998999997E-005,6.35247600498262,2.56400393875459
1.25999998999997E-005,6.41354743577693,2.67634370434699
1.35999998999997E-005,6.47912077858778,2.78741702220335
1.45999998999997E-005,6.54909597237651,2.8971348546937
1.48999996999999E-005,6.57093393701801,2.9297747432056
1.49999998999997E-005,6.57829884656282,2.94062553212353
1.50999998999997E-005,6.58570631480557,2.95146152696217
1.55999998999997E-005,6.62389819901396,3.00522254497203
1.65999998999997E-005,6.7023512152175,3.11196005082971
1.75999998999997E-005,6.78488757783383,3.2170876628992
1.85999998999997E-005,6.8713956652147,3.32052483046871
1.95999998999997E-005,6.96176127212597,3.42219326109531
1.98999996999999E-005,6.98960847022751,3.452339131771
1.99999998999997E-005,6.99896525022682,3.46235057807338
2.00999998999997E-005,7.00835895248001,3.47234325387068
2.05999998999997E-005,7.05632520160577,3.52178000185462
2.15999998999997E-005,7.15403846600375,3.61967636517852
2.25999998999997E-005,7.25525214106901,3.7155834591078
2.35999998999997E-005,7.35984298067468,3.80943250789036
2.45999998999997E-005,7.46768579822495,3.90115722010136
2.48999996999999E-005,7.50065673684107,3.92825217443287
2.49999998999997E-005,7.51170907448832,3.93723982659679
2.50999998999997E-005,7.52279213110393,3.9462053253912
2.55999998999997E-005,7.57903322990193,3.99041499309218
2.65999998999997E-005,7.69298111566591,4.0776948496365
2.75999998999997E-005,7.80979490509575,4.16266708942888
2.85999998999997E-005,7.92934297835333,4.24527571059439
2.95999998999997E-005,8.05149243255556,4.3254673564853
2.98999996999999E-005,8.08862756918674,4.34904698076033
2.99999998999997E-005,8.10105479363706,4.35685731401813
3.00999998999997E-005,8.11350612973351,4.36464275309476
3.05999998999997E-005,8.17640607241278,4.40287869237063
3.15999998999997E-005,8.30333814285676,4.47808125021793
3.25999998999997E-005,8.4324664052507,4.55072320473686
3.35999998999997E-005,8.56365415732643,4.62076199911109
3.45999998999997E-005,8.69676407029059,4.68815781683492
3.48999996999999E-005,8.73705438756851,4.70785634832899
3.49999998999997E-005,8.75051966523778,4.71436878730102
3.50999998999997E-005,8.7640022076881,4.72085426542809
3.55999998999997E-005,8.83186951829235,4.75253557024517
3.65999998999997E-005,8.96839261132125,4.81453294894904
3.75999998999997E-005,9.1064233962374,4.87378478887345
3.85999998999997E-005,9.24582334537396,4.93026232145734
3.95999998999997E-005,9.38645394564217,4.98393954854718
3.98999996999999E-005,9.42886552578161,4.99949357976355
3.99999998999997E-005,9.44302404811091,5.00462170044587
4.00999998999997E-005,9.45719291127467,5.00972148348649
4.05999998999997E-005,9.52830150598444,5.03443846842664
4.15999998999997E-005,9.67096131834227,5.08244584018337
4.25999998999997E-005,9.81443763425865,5.12759185065736
4.35999998999997E-005,9.9585932527822,5.16986154178696
4.45999998999997E-005,10.1032915997038,5.2092426932621
4.48999996999999E-005,10.1467896540087,5.22049244200113
4.49999998999997E-005,10.1612966365384,5.2241843630944
4.50999998999997E-005,10.1758071157929,5.22784725934207
4.55999998999997E-005,10.2484361084422,5.24536289825765
4.65999998999997E-005,10.3937964936711,5.27894057223652
4.75999998999997E-005,10.5392949468973,5.30960965783083
4.85999998999997E-005,10.6847985758945,5.33736872260291
4.95999998999997E-005,10.8301756861259,5.36221897998271
4.98999996999999E-005,10.8737475312297,5.36910720573849
4.99999998999997E-005,10.8882658550965,5.37134519682814
5.00999998999997E-005,10.9027810595597,5.37355414991348
5.05999998999997E-005,10.9752526751989,5.38380162316149
5.15999998999997E-005,11.1199709996218,5.40284938641328
5.25999998999997E-005,11.264176178382,5.41900791463324
5.35999998999997E-005,11.4077423813755,5.43228872903567
5.45999998999997E-005,11.5505454951031,5.44270585027088
5.48999996999999E-005,11.5932220136603,5.44527454603213
5.49999998999997E-005,11.6074293560939,5.44607389626107
5.50999998999997E-005,11.6216273274556,5.44684483957752
5.55999998999997E-005,11.6923421680077,5.44992141789744
5.65999998999997E-005,11.8332392303292,5.45466560391407
5.75999998999997E-005,11.9730123751175,5.4566030878596
5.85999998999997E-005,12.1115453083491,5.45575751102494
5.95999998999997E-005,12.2487239103066,5.45215481883838
5.98999996999999E-005,12.2895990880798,5.45053985091987
5.99999998999997E-005,12.3031944066527,5.44994705623955
6.00999998999997E-005,12.3167745892534,5.44932708724364
6.05999998999997E-005,12.3842435877492,5.44548465136615
6.15999998999997E-005,12.5183667950751,5.43645854753791
6.25999998999997E-005,12.6508074881568,5.42476680470559
6.35999998999997E-005,12.7814610612033,5.41044411921199
6.45999998999997E-005,12.9102254718054,5.3935272538819
